id,manufacturer,name,certification_id,assurance_level,certification_date,archived_date,remark
107,紫光同芯微电子有限公司,芯片THK88V20,CNITSEC2021PRD1041,EAL4+,2021/3/19,2024/3/18,NULL
108,网神信息技术（北京）股份有限公司,"网神SecSSL 3600安全接入网关系统SecSSL/V5.0",CNITSEC2021PRD1042,EAL3+,2021/3/22,2024/3/21,NULL
109,神州融安科技（北京）有限公司,"蓝牙型智能密码钥匙KeyPod2G04 V2.0",CNITSEC2021PRD1043,EAL4+,2021/3/24,2024/3/23,NULL
110,杭州中焯信息技术股份有限公司,"中焯安全交易软件 V3.0",CNITSEC2021PRD1031,EAL2,2021/1/5,2024/1/4,NULL
111,新华三技术有限公司,"H3C SecPath T1000入侵防御系统（千兆）/Comware V7",CNITSEC2021PRD1032,EAL3+,2020/12/30,2023/12/29,NULL
112,新华三技术有限公司,"H3C SecPath T5000入侵防御系统（万兆）/Comware V7",CNITSEC2021PRD1033,EAL3+,2020/12/30,2023/12/29,NULL
113,国民技术股份有限公司,支持智能密码钥匙及支付终端的芯片Z32HUA,CNITSEC2021PRD1034,EAL4+,2021/1/21,2024/1/20,NULL
114,深信服科技股份有限公司,"深信服终端检测响应平台EDR-1000 V3.0",CNITSEC2021PRD1035,EAL3+,2021/1/13,2024/1/12,NULL
115,北京启明星辰信息安全技术有限公司,天玥数据库审计系统V6.0（DA）/千兆,CNITSEC2021PRD1036,EAL3+,2021/1/29,2024/1/28,NULL
116,北京网御星云信息技术有限公司,网御数据库审计系统V3.0（LA-DAP）/千兆,CNITSEC2021PRD1037,EAL3+,2021/1/29,2024/1/28,NULL
117,北京神州绿盟科技有限公司,"绿盟NF防火墙 V6.0",CNITSEC2021I&amp;OE0037,自主原创,2021/3/19,2024/3/18,NULL
118,北京中科网威信息技术有限公司,"中科神威入侵检测系统 NSIDS-6000（千兆）V4.0",CNITSEC2020PRD1023,EAL1,2020/12/11,2023/12/10,NULL
119,北京中科网威信息技术有限公司,"中科神威防火墙 NSFW-6000（千兆）V4.0",CNITSEC2020PRD1024,EAL1,2020/12/11,2023/12/10,NULL
120,网神信息技术（北京）股份有限公司,"网神SecSIS 3600 安全隔与信息交换系统 SecSIS/V2.0",CNITSEC2020PRD1025,EAL4+,2020/12/11,2023/12/10,NULL
121,北京威努特技术有限公司,威努特防火墙系统V2.0(千兆）,CNITSEC2020PRD1026,EAL3+,2020/12/17,2023/12/16,NULL
122,北京威努特技术有限公司,威努特防火墙系统V2.0(万兆）,CNITSEC2020PRD1027,EAL3+,2020/12/17,2023/12/16,NULL
123,北京启明星辰信息安全技术有限公司,天玥网络安全审计系统V6.0(千兆),CNITSEC2020PRD1028,EAL3+,2020/12/18,2023/12/17,NULL
124,北京腾云天下科技有限公司,"移动应用统计分析SDK V4.0",CNITSEC2020PRD1029,EAL1,2020/11/24,2023/11/23,NULL
